Domain Code,Domain,Area Code,Area,Year Code,Year,Item Code,Item,Months Code,Months,Unit,Value,Flag,Flag Description,Note
CP,Consumer Price Indices,21,Brazil,2011,2011,23012,"Consumer Prices, General Indices (2015 = 100)",7001,January,,74.76406,X,International reliable sources,base year is 2015
CP,Consumer Price Indices,21,Brazil,2012,2012,23012,"Consumer Prices, General Indices (2015 = 100)",7001,January,,79.41289,X,International reliable sources,base year is 2015
CP,Consumer Price Indices,21,Brazil,2012,2012,23012,"Consumer Prices, General Indices (2015 = 100)",7002,February,,79.77019,X,International reliable sources,base year is 2015
CP,Consumer Price Indices,21,Brazil,2012,2012,23012,"Consumer Prices, General Indices (2015 = 100)",7003,March,,79.9377,X,International reliable sources,base year is 2015
CP,Consumer Price Indices,21,Brazil,2012,2012,23012,"Consumer Prices, General Indices (2015 = 100)",7004,April,,80.44929,X,International reliable sources,base year is 2015
CP,Consumer Price Indices,21,Brazil,2012,2012,23012,"Consumer Prices, General Indices (2015 = 100)",7005,May,,80.73884,X,International reliable sources,base year is 2015
CP,Consumer Price Indices,21,Brazil,2012,2012,23012,"Consumer Prices, General Indices (2015 = 100)",7006,June,,80.80334,X,International reliable sources,base year is 2015
CP,Consumer Price Indices,21,Brazil,2012,2012,23012,"Consumer Prices, General Indices (2015 = 100)",7007,July,,81.15089,X,International reliable sources,base year is 2015
CP,Consumer Price Indices,21,Brazil,2012,2012,23012,"Consumer Prices, General Indices (2015 = 100)",7008,August,,81.4836,X,International reliable sources,base year is 2015
CP,Consumer Price Indices,21,Brazil,2012,2012,23012,"Consumer Prices, General Indices (2015 = 100)",7009,September,,81.94808,X,International reliable sources,base year is 2015
CP,Consumer Price Indices,21,Brazil,2012,2012,23012,"Consumer Prices, General Indices (2015 = 100)",7010,October,,82.43159,X,International reliable sources,base year is 2015
CP,Consumer Price Indices,21,Brazil,2012,2012,23012,"Consumer Prices, General Indices (2015 = 100)",7011,November,,82.92625,X,International reliable sources,base year is 2015
CP,Consumer Price Indices,21,Brazil,2012,2012,23012,"Consumer Prices, General Indices (2015 = 100)",7012,December,,83.58145,X,International reliable sources,base year is 2015
CP,Consumer Price Indices,21,Brazil,2012,2012,23013,"Consumer Prices, Food Indices (2015 = 100)",7001,January,,73.60609,X,International reliable sources,base year is 2015
