"STATISTIC","Statistic Label","TLIST(A1)","Year","C03530V04258","Sector of Activity","C03066V03701","Size of Enterprise","UNIT","VALUE"
"TSA11C03","Value of Imports","2020","2020","20","Chemicals and Pharmaceuticals (20-21)","02","Medium (50 to 249)","Euro Million","1615"
"TSA11C03","Value of Imports","2020","2020","20","Chemicals and Pharmaceuticals (20-21)","03","Large (250 or more)","Euro Million","12468"
"TSA11C03","Value of Imports","2020","2020","20","Chemicals and Pharmaceuticals (20-21)","99","Unknown","Euro Million",""
"TSA11C03","Value of Imports","2020","2020","20","Chemicals and Pharmaceuticals (20-21)","-","All Enterprises","Euro Million","14592"
"TSA11C03","Value of Imports","2020","2020","30","Other Manufacturing and Construction (05-09, 12-19, 22-43)","05","Micro (0 to 9)","Euro Million","1231"
"TSA11C03","Value of Imports","2020","2020","30","Other Manufacturing and Construction (05-09, 12-19, 22-43)","01","Small (10 to 49)","Euro Million","1948"
"TSA11C03","Value of Imports","2020","2020","30","Other Manufacturing and Construction (05-09, 12-19, 22-43)","02","Medium (50 to 249)","Euro Million","3505"
"TSA11C03","Value of Imports","2020","2020","30","Other Manufacturing and Construction (05-09, 12-19, 22-43)","03","Large (250 or more)","Euro Million","7512"
"TSA11C03","Value of Imports","2020","2020","30","Other Manufacturing and Construction (05-09, 12-19, 22-43)","99","Unknown","Euro Million",""
"TSA11C03","Value of Imports","2020","2020","30","Other Manufacturing and Construction (05-09, 12-19, 22-43)","-","All Enterprises","Euro Million","14196"
"TSA11C03","Value of Imports","2020","2020","40","Wholesale and Retail (45-47)","05","Micro (0 to 9)","Euro Million","7104"
"TSA11C03","Value of Imports","2020","2020","40","Wholesale and Retail (45-47)","01","Small (10 to 49)","Euro Million","10092"
"TSA11C03","Value of Imports","2020","2020","40","Wholesale and Retail (45-47)","02","Medium (50 to 249)","Euro Million","6362"
"TSA11C03","Value of Imports","2020","2020","40","Wholesale and Retail (45-47)","03","Large (250 or more)","Euro Million","6658"
"TSA11C03","Value of Imports","2020","2020","40","Wholesale and Retail (45-47)","99","Unknown","Euro Million",""
"TSA11C03","Value of Imports","2020","2020","40","Wholesale and Retail (45-47)","-","All Enterprises","Euro Million","30217"
"TSA11C03","Value of Imports","2020","2020","50","Services/other (49-98)","05","Micro (0 to 9)","Euro Million","5040"
"TSA11C03","Value of Imports","2020","2020","50","Services/other (49-98)","01","Small (10 to 49)","Euro Million","3440"
"TSA11C03","Value of Imports","2020","2020","50","Services/other (49-98)","02","Medium (50 to 249)","Euro Million","8271"
"TSA11C03","Value of Imports","2020","2020","50","Services/other (49-98)","03","Large (250 or more)","Euro Million","4031"
"TSA11C03","Value of Imports","2020","2020","50","Services/other (49-98)","99","Unknown","Euro Million",""
"TSA11C03","Value of Imports","2020","2020","50","Services/other (49-98)","-","All Enterprises","Euro Million","20781"
"TSA11C03","Value of Imports","2020","2020","99","Unknown","05","Micro (0 to 9)","Euro Million",""
"TSA11C03","Value of Imports","2020","2020","99","Unknown","01","Small (10 to 49)","Euro Million",""
"TSA11C03","Value of Imports","2020","2020","99","Unknown","02","Medium (50 to 249)","Euro Million",""
"TSA11C03","Value of Imports","2020","2020","99","Unknown","03","Large (250 or more)","Euro Million",""
"TSA11C03","Value of Imports","2020","2020","99","Unknown","99","Unknown","Euro Million","3837"
"TSA11C03","Value of Imports","2020","2020","99","Unknown","-","All Enterprises","Euro Million","3837"
"TSA11C03","Value of Imports","2020","2020","-","All sectors","05","Micro (0 to 9)","Euro Million","14097"
"TSA11C03","Value of Imports","2020","2020","-","All sectors","01","Small (10 to 49)","Euro Million","16084"
"TSA11C03","Value of Imports","2020","2020","-","All sectors","02","Medium (50 to 249)","Euro Million","20551"
"TSA11C03","Value of Imports","2020","2020","-","All sectors","03","Large (250 or more)","Euro Million","32634"
"TSA11C03","Value of Imports","2020","2020","-","All sectors","99","Unknown","Euro Million","3837"
"TSA11C03","Value of Imports","2020","2020","-","All sectors","-","All Enterprises","Euro Million","87202"
"TSA11C04","Number of Importing Enterprises","2017","2017","10","Agriculture and Food (01-03,10-11)","05","Micro (0 to 9)","Number","1194"
"TSA11C04","Number of Importing Enterprises","2017","2017","10","Agriculture and Food (01-03,10-11)","01","Small (10 to 49)","Number","305"
